Name,Link,Family,Thickness(%),x-Location_of_Max_Thk(%),Camber(%),Data_Sources,Cl_Max,Cl/Cd_Max,Cd@Cl=0.1,Cd@Cl=0.4,Cd@Cl=0.6
NACA67-311 A=0.0,"<a href=""http://www.bigfoil.com/index.php?airfoil=1a103a09-d42e-4f7d-870d-1fcaab10c825"" target=""_blank"">NACA67-311 a=0.0</a>",NACA 67-series,11.0,47.9,1.7,JF XF,1.10,110,0.004,0.004,0.006
NACA67-311 A=0.2,"<a href=""http://www.bigfoil.com/index.php?airfoil=f9b8cc88-fb54-4e1a-96f8-33844cf28cba"" target=""_blank"">NACA67-311 a=0.2</a>",NACA 67-series,11.0,47.9,1.8,JF XF,1.12,112,0.005,0.004,0.006
NACA67-311 A=0.5,"<a href=""http://www.bigfoil.com/index.php?airfoil=dba62d9e-1b7b-470e-bc8a-7de619d9fed7"" target=""_blank"">NACA67-311 a=0.5</a>",NACA 67-series,11.0,47.9,2.1,JF XF,1.12,153,0.004,0.004,0.004
NACA67-311 A=0.6,"<a href=""http://www.bigfoil.com/index.php?airfoil=97596a66-a7fe-4cba-bf19-ca54596d839c"" target=""_blank"">NACA67-311 a=0.6</a>",NACA 67-series,11.0,47.9,2.1,JF XF,1.13,178,0.005,0.004,0.004
NACA67-311 A=0.8,"<a href=""http://www.bigfoil.com/index.php?airfoil=c239f042-ccca-41e3-a95c-8e96a9218d2e"" target=""_blank"">NACA67-311 a=0.8</a>",NACA 67-series,11.0,47.9,1.9,JF XF,1.13,190,0.004,0.003,0.003
NACA67-312 A=0.0,"<a href=""http://www.bigfoil.com/index.php?airfoil=a0a178ad-42ed-4e9e-9d42-a4edae4498ea"" target=""_blank"">NACA67-312 a=0.0</a>",NACA 67-series,12.0,47.9,1.6,JF XF,1.16,115,0.004,0.004,0.006
NACA67-312 A=0.2,"<a href=""http://www.bigfoil.com/index.php?airfoil=99a5dbce-e9d3-4340-9151-0202b000aa55"" target=""_blank"">NACA67-312 a=0.2</a>",NACA 67-series,12.0,47.9,1.8,JF XF,1.17,104,0.003,0.004,0.006
NACA67-312 A=0.5,"<a href=""http://www.bigfoil.com/index.php?airfoil=6cc86511-47ca-4f9c-9d8e-75e2e73a1865"" target=""_blank"">NACA67-312 a=0.5</a>",NACA 67-series,12.0,47.9,2.0,JF XF,1.18,141,0.004,0.004,0.005
NACA67-312 A=0.6,"<a href=""http://www.bigfoil.com/index.php?airfoil=26fdb010-ab97-4633-9e9f-d613589e5047"" target=""_blank"">NACA67-312 a=0.6</a>",NACA 67-series,12.0,47.9,2.0,JF XF,1.18,179,0.003,0.003,0.003
NACA67-312 A=0.8,"<a href=""http://www.bigfoil.com/index.php?airfoil=d931591a-6ff5-47af-b447-5fa827fc3845"" target=""_blank"">NACA67-312 a=0.8</a>",NACA 67-series,12.0,47.9,1.9,JF XF,1.19,196,0.004,0.003,0.003
NACA67-313 A=0.0,"<a href=""http://www.bigfoil.com/index.php?airfoil=ac933018-f4c0-4cc4-ae19-6ec539814495"" target=""_blank"">NACA67-313 a=0.0</a>",NACA 67-series,13.0,47.9,1.6,JF XF,1.22,101,0.003,0.004,0.006
NACA67-313 A=0.2,"<a href=""http://www.bigfoil.com/index.php?airfoil=148a6e71-9154-4df0-a010-29a9e63ade10"" target=""_blank"">NACA67-313 a=0.2</a>",NACA 67-series,13.0,47.9,1.8,JF XF,1.23,103,0.003,0.004,0.006
NACA67-313 A=0.5,"<a href=""http://www.bigfoil.com/index.php?airfoil=303189e8-d448-439e-8497-756134d89b6a"" target=""_blank"">NACA67-313 a=0.5</a>",NACA 67-series,13.0,47.9,2.0,JF XF,1.24,140,0.003,0.004,0.005
NACA67-313 A=0.6,"<a href=""http://www.bigfoil.com/index.php?airfoil=9853ed97-2063-4463-a8d4-e0ae7a45d3d1"" target=""_blank"">NACA67-313 a=0.6</a>",NACA 67-series,13.0,47.9,2.0,JF XF,1.24,162,0.003,0.003,0.004
NACA67-313 A=0.8,"<a href=""http://www.bigfoil.com/index.php?airfoil=661cc09d-f59e-4293-b232-4bb91fee26c2"" target=""_blank"">NACA67-313 a=0.8</a>",NACA 67-series,13.0,47.9,1.8,JF XF,1.25,172,0.003,0.003,0.004
NACA67-314 A=0.0,"<a href=""http://www.bigfoil.com/index.php?airfoil=89cc77fd-7e16-44c3-964d-6afb582d577f"" target=""_blank"">NACA67-314 a=0.0</a>",NACA 67-series,14.0,47.9,1.6,JF XF,1.27,102,0.003,0.004,0.006
NACA67-314 A=0.2,"<a href=""http://www.bigfoil.com/index.php?airfoil=449b05d3-33e7-4c4a-b66f-438463a61336"" target=""_blank"">NACA67-314 a=0.2</a>",NACA 67-series,14.0,47.9,1.7,JF XF,1.28,103,0.003,0.004,0.006
NACA67-314 A=0.5,"<a href=""http://www.bigfoil.com/index.php?airfoil=f0cd9988-b1f1-4b49-88b0-296a23ca91c2"" target=""_blank"">NACA67-314 a=0.5</a>",NACA 67-series,14.0,47.9,2.0,JF XF,1.29,143,0.003,0.004,0.005
NACA67-314 A=0.6,"<a href=""http://www.bigfoil.com/index.php?airfoil=cf38d5bf-a615-4dd4-bdc6-baabee758134"" target=""_blank"">NACA67-314 a=0.6</a>",NACA 67-series,14.0,47.9,2.0,JF XF,1.30,162,0.003,0.004,0.004
NACA67-314 A=0.8,"<a href=""http://www.bigfoil.com/index.php?airfoil=b51bbdb1-7436-4e24-b67c-c2e3743bd167"" target=""_blank"">NACA67-314 a=0.8</a>",NACA 67-series,14.0,47.9,1.8,JF XF,1.30,171,0.003,0.004,0.004
NACA67-315 A=0.0,"<a href=""http://www.bigfoil.com/index.php?airfoil=4795a094-5d40-44b3-b795-f508f274c5f7"" target=""_blank"">NACA67-315 a=0.0</a>",NACA 67-series,15.0,47.9,1.5,JF XF,1.32,101,0.003,0.004,0.006
NACA67-315 A=0.2,"<a href=""http://www.bigfoil.com/index.php?airfoil=38e5836d-a097-4686-b2e4-c4ee2c237cbd"" target=""_blank"">NACA67-315 a=0.2</a>",NACA 67-series,15.0,47.9,1.7,JF XF,1.34,103,0.003,0.004,0.006
NACA67-315 A=0.5,"<a href=""http://www.bigfoil.com/index.php?airfoil=9e33dd26-5260-4216-afde-d247946644f1"" target=""_blank"">NACA67-315 a=0.5</a>",NACA 67-series,15.0,47.9,2.0,JF XF,1.35,141,0.003,0.004,0.005
NACA67-315 A=0.6,"<a href=""http://www.bigfoil.com/index.php?airfoil=d5e6a8dd-a447-4dcb-940d-210bd29cb423"" target=""_blank"">NACA67-315 a=0.6</a>",NACA 67-series,15.0,47.9,1.9,JF XF,1.36,159,0.003,0.004,0.004
NACA67-315 A=0.8,"<a href=""http://www.bigfoil.com/index.php?airfoil=f2f26601-ed8a-48a5-8ea4-762fe162cfc5"" target=""_blank"">NACA67-315 a=0.8</a>",NACA 67-series,15.0,47.9,1.8,JF XF,1.36,172,0.003,0.004,0.004
NACA67-316 A=0.0,"<a href=""http://www.bigfoil.com/index.php?airfoil=12f17eb8-40be-404d-b7d2-fe1953f6fe7c"" target=""_blank"">NACA67-316 a=0.0</a>",NACA 67-series,16.0,47.9,1.5,JF XF,1.38,100,0.003,0.004,0.006
NACA67-316 A=0.2,"<a href=""http://www.bigfoil.com/index.php?airfoil=13b1df9d-e3e8-4624-b9f3-e8cf6df6ef86"" target=""_blank"">NACA67-316 a=0.2</a>",NACA 67-series,16.0,47.9,1.7,JF XF,1.39,102,0.003,0.004,0.006
NACA67-316 A=0.5,"<a href=""http://www.bigfoil.com/index.php?airfoil=94e970f4-cf6c-4f31-950c-2639e952ef42"" target=""_blank"">NACA67-316 a=0.5</a>",NACA 67-series,16.0,47.9,1.9,JF XF,1.41,139,0.004,0.004,0.005
NACA67-316 A=0.6,"<a href=""http://www.bigfoil.com/index.php?airfoil=7ebaf23d-d91b-47a8-a3a1-cdccd3187b20"" target=""_blank"">NACA67-316 a=0.6</a>",NACA 67-series,16.0,47.9,1.9,JF XF,1.41,160,0.004,0.004,0.004
