,Name_big,Name_dat
306,GA 30A618,GA 30A618.DAT
307,GA 30A619,GA 30A619.DAT
308,GA 30A620,GA 30A620.DAT
309,GA 30U-612,GA 30U-612.DAT
310,GA 30U-615,GA 30U-615.DAT
311,GA 30U-618,GA 30U-618.DAT
312,GA 35-010,GA 35-010.DAT
313,GA 35-011,GA 35-011.DAT
314,GA 35-012,GA 35-012.DAT
315,GA 35-013,GA 35-013.DAT
316,GA 35-014,GA 35-014.DAT
317,GA 35-015,GA 35-015.DAT
318,GA 35-016,GA 35-016.DAT
319,GA 35-017,GA 35-017.DAT
320,GA 35-018,GA 35-018.DAT
321,GA 35-019,GA 35-019.DAT
322,GA 35-020,GA 35-020.DAT
323,GA 35-210,GA 35-210.DAT
324,GA 35-211,GA 35-211.DAT
325,GA 35-212,GA 35-212.DAT
326,GA 35-213,GA 35-213.DAT
327,GA 35-214,GA 35-214.DAT
328,GA 35-215,GA 35-215.DAT
329,GA 35-216,GA 35-216.DAT
330,GA 35-217,GA 35-217.DAT
331,GA 35-218,GA 35-218.DAT
332,GA 35-219,GA 35-219.DAT
333,GA 35-220,GA 35-220.DAT
334,GA 35-310,GA 35-310.DAT
335,GA 35-311,GA 35-311.DAT
336,GA 35-312,GA 35-312.DAT
337,GA 35-313,GA 35-313.DAT
338,GA 35-314,GA 35-314.DAT
339,GA 35-315,GA 35-315.DAT
340,GA 35-316,GA 35-316.DAT
341,GA 35-317,GA 35-317.DAT
342,GA 35-318,GA 35-318.DAT
343,GA 35-319,GA 35-319.DAT
344,GA 35-320,GA 35-320.DAT
345,GA 35-410,GA 35-410.DAT
346,GA 35-411,GA 35-411.DAT
347,GA 35-412,GA 35-412.DAT
348,GA 35-413,GA 35-413.DAT
349,GA 35-414,GA 35-414.DAT
350,GA 35-415,GA 35-415.DAT
351,GA 35-416,GA 35-416.DAT
352,GA 35-417,GA 35-417.DAT
353,GA 35-418,GA 35-418.DAT
354,GA 35-419,GA 35-419.DAT
355,GA 35-420,GA 35-420.DAT
356,GA 35-610,GA 35-610.DAT
357,GA 35-611,GA 35-611.DAT
358,GA 35-612,GA 35-612.DAT
359,GA 35-613,GA 35-613.DAT
360,GA 35-614,GA 35-614.DAT
361,GA 35-615,GA 35-615.DAT
362,GA 35-616,GA 35-616.DAT
363,GA 35-617,GA 35-617.DAT
364,GA 35-618,GA 35-618.DAT
365,GA 35-619,GA 35-619.DAT
366,GA 35-620,GA 35-620.DAT
367,GA 35A010,GA 35A010.DAT
368,GA 35A011,GA 35A011.DAT
369,GA 35A012,GA 35A012.DAT
370,GA 35A013,GA 35A013.DAT
371,GA 35A014,GA 35A014.DAT
372,GA 35A015,GA 35A015.DAT
373,GA 35A016,GA 35A016.DAT
374,GA 35A017,GA 35A017.DAT
375,GA 35A018,GA 35A018.DAT
376,GA 35A019,GA 35A019.DAT
377,GA 35A020,GA 35A020.DAT
378,GA 35A210,GA 35A210.DAT
379,GA 35A211,GA 35A211.DAT
380,GA 35A212,GA 35A212.DAT
381,GA 35A213,GA 35A213.DAT
382,GA 35A214,GA 35A214.DAT
383,GA 35A215,GA 35A215.DAT
384,GA 35A216,GA 35A216.DAT
385,GA 35A217,GA 35A217.DAT
386,GA 35A218,GA 35A218.DAT
387,GA 35A219,GA 35A219.DAT
388,GA 35A220,GA 35A220.DAT
389,GA 35A310,GA 35A310.DAT
390,GA 35A311,GA 35A311.DAT
391,GA 35A312,GA 35A312.DAT
392,GA 35A313,GA 35A313.DAT
393,GA 35A314,GA 35A314.DAT
394,GA 35A315,GA 35A315.DAT
395,GA 35A316,GA 35A316.DAT
396,GA 35A317,GA 35A317.DAT
397,GA 35A318,GA 35A318.DAT
398,GA 35A319,GA 35A319.DAT
399,GA 35A320,GA 35A320.DAT
400,GA 35A410,GA 35A410.DAT
401,GA 35A411,GA 35A411.DAT
402,GA 35A412,GA 35A412.DAT
403,GA 35A413,GA 35A413.DAT
404,GA 35A414,GA 35A414.DAT
405,GA 35A415,GA 35A415.DAT
406,GA 35A416,GA 35A416.DAT
407,GA 35A417,GA 35A417.DAT
408,GA 35A418,GA 35A418.DAT
409,GA 35A419,GA 35A419.DAT
410,GA 35A420,GA 35A420.DAT
411,GA 35A610,GA 35A610.DAT
412,GA 35A611,GA 35A611.DAT
413,GA 35A612,GA 35A612.DAT
414,GA 35A613,GA 35A613.DAT
415,GA 35A614,GA 35A614.DAT
416,GA 35A615,GA 35A615.DAT
417,GA 35A616,GA 35A616.DAT
418,GA 35A617,GA 35A617.DAT
419,GA 35A618,GA 35A618.DAT
420,GA 35A619,GA 35A619.DAT
421,GA 35A620,GA 35A620.DAT
422,GA 37-010,GA 37-010.DAT
423,GA 37-011,GA 37-011.DAT
424,GA 37-012,GA 37-012.DAT
425,GA 37-013,GA 37-013.DAT
426,GA 37-014,GA 37-014.DAT
427,GA 37-015,GA 37-015.DAT
428,GA 37-016,GA 37-016.DAT
429,GA 37-017,GA 37-017.DAT
430,GA 37-018,GA 37-018.DAT
431,GA 37-019,GA 37-019.DAT
432,GA 37-020,GA 37-020.DAT
433,GA 37-210,GA 37-210.DAT
434,GA 37-211,GA 37-211.DAT
435,GA 37-212,GA 37-212.DAT
436,GA 37-213,GA 37-213.DAT
437,GA 37-214,GA 37-214.DAT
438,GA 37-215,GA 37-215.DAT
439,GA 37-216,GA 37-216.DAT
440,GA 37-217,GA 37-217.DAT
441,GA 37-218,GA 37-218.DAT
442,GA 37-219,GA 37-219.DAT
443,GA 37-220,GA 37-220.DAT
444,GA 37-310,GA 37-310.DAT
445,GA 37-311,GA 37-311.DAT
446,GA 37-312,GA 37-312.DAT
447,GA 37-313,GA 37-313.DAT
448,GA 37-314,GA 37-314.DAT
449,GA 37-315,GA 37-315.DAT
450,GA 37-316,GA 37-316.DAT
451,GA 37-317,GA 37-317.DAT
452,GA 37-318,GA 37-318.DAT
453,GA 37-319,GA 37-319.DAT
454,GA 37-320,GA 37-320.DAT
455,GA 37-410,GA 37-410.DAT
456,GA 37-411,GA 37-411.DAT
457,GA 37-412,GA 37-412.DAT
458,GA 37-413,GA 37-413.DAT
459,GA 37-414,GA 37-414.DAT
460,GA 37-415,GA 37-415.DAT
461,GA 37-416,GA 37-416.DAT
462,GA 37-417,GA 37-417.DAT
463,GA 37-418,GA 37-418.DAT
464,GA 37-419,GA 37-419.DAT
465,GA 37-420,GA 37-420.DAT
466,GA 37-610,GA 37-610.DAT
467,GA 37-611,GA 37-611.DAT
468,GA 37-612,GA 37-612.DAT
469,GA 37-613,GA 37-613.DAT
470,GA 37-614,GA 37-614.DAT
471,GA 37-615,GA 37-615.DAT
472,GA 37-616,GA 37-616.DAT
473,GA 37-617,GA 37-617.DAT
474,GA 37-618,GA 37-618.DAT
475,GA 37-619,GA 37-619.DAT
476,GA 37-620,GA 37-620.DAT
477,GA 37A010,GA 37A010.DAT
478,GA 37A011,GA 37A011.DAT
479,GA 37A012,GA 37A012.DAT
480,GA 37A013,GA 37A013.DAT
481,GA 37A014,GA 37A014.DAT
482,GA 37A015,GA 37A015.DAT
483,GA 37A016,GA 37A016.DAT
484,GA 37A017,GA 37A017.DAT
485,GA 37A018,GA 37A018.DAT
486,GA 37A019,GA 37A019.DAT
487,GA 37A020,GA 37A020.DAT
488,GA 37A210,GA 37A210.DAT
489,GA 37A211,GA 37A211.DAT
490,GA 37A212,GA 37A212.DAT
491,GA 37A213,GA 37A213.DAT
492,GA 37A214,GA 37A214.DAT
493,GA 37A215,GA 37A215.DAT
494,GA 37A216,GA 37A216.DAT
495,GA 37A217,GA 37A217.DAT
496,GA 37A218,GA 37A218.DAT
497,GA 37A219,GA 37A219.DAT
498,GA 37A220,GA 37A220.DAT
499,GA 37A310,GA 37A310.DAT
500,GA 37A311,GA 37A311.DAT
501,GA 37A312,GA 37A312.DAT
502,GA 37A313,GA 37A313.DAT
503,GA 37A314,GA 37A314.DAT
504,GA 37A315,GA 37A315.DAT
505,GA 37A316,GA 37A316.DAT
506,GA 37A317,GA 37A317.DAT
507,GA 37A318,GA 37A318.DAT
508,GA 37A319,GA 37A319.DAT
509,GA 37A320,GA 37A320.DAT
510,GA 37A410,GA 37A410.DAT
511,GA 37A411,GA 37A411.DAT
512,GA 37A412,GA 37A412.DAT
513,GA 37A413,GA 37A413.DAT
514,GA 37A414,GA 37A414.DAT
515,GA 37A415,GA 37A415.DAT
516,GA 37A416,GA 37A416.DAT
517,GA 37A417,GA 37A417.DAT
518,GA 37A418,GA 37A418.DAT
519,GA 37A419,GA 37A419.DAT
520,GA 37A420,GA 37A420.DAT
521,GA 37A610,GA 37A610.DAT
522,GA 37A611,GA 37A611.DAT
523,GA 37A612,GA 37A612.DAT
524,GA 37A613,GA 37A613.DAT
525,GA 37A614,GA 37A614.DAT
526,GA 37A615,GA 37A615.DAT
527,GA 37A616,GA 37A616.DAT
528,GA 37A617,GA 37A617.DAT
529,GA 37A618,GA 37A618.DAT
530,GA 37A619,GA 37A619.DAT
531,GA 37A620,GA 37A620.DAT
532,GA 40-010,GA 40-010.DAT
533,GA 40-011,GA 40-011.DAT
534,GA 40-012,GA 40-012.DAT
535,GA 40-013,GA 40-013.DAT
536,GA 40-014,GA 40-014.DAT
537,GA 40-015,GA 40-015.DAT
538,GA 40-016,GA 40-016.DAT
539,GA 40-017,GA 40-017.DAT
540,GA 40-018,GA 40-018.DAT
541,GA 40-019,GA 40-019.DAT
542,GA 40-020,GA 40-020.DAT
543,GA 40-210,GA 40-210.DAT
544,GA 40-211,GA 40-211.DAT
545,GA 40-212,GA 40-212.DAT
546,GA 40-213,GA 40-213.DAT
547,GA 40-214,GA 40-214.DAT
548,GA 40-215,GA 40-215.DAT
549,GA 40-216,GA 40-216.DAT
550,GA 40-217,GA 40-217.DAT
551,GA 40-218,GA 40-218.DAT
552,GA 40-219,GA 40-219.DAT
553,GA 40-220,GA 40-220.DAT
554,GA 40-310,GA 40-310.DAT
555,GA 40-311,GA 40-311.DAT
556,GA 40-312,GA 40-312.DAT
557,GA 40-313,GA 40-313.DAT
558,GA 40-314,GA 40-314.DAT
559,GA 40-315,GA 40-315.DAT
560,GA 40-316,GA 40-316.DAT
561,GA 40-317,GA 40-317.DAT
562,GA 40-318,GA 40-318.DAT
563,GA 40-319,GA 40-319.DAT
564,GA 40-320,GA 40-320.DAT
565,GA 40-410,GA 40-410.DAT
